metric,tag,trainer_step,raw_value,smoothed_value
train_mean_reward,Reward / Total reward (mean),800.0,-1.428059458732605,-1.428059458732605
train_mean_reward,Reward / Total reward (mean),1600.0,61.16926956176758,11.09140634536743
train_mean_reward,Reward / Total reward (mean),2400.0,72.1780776977539,23.30874061584472
train_mean_reward,Reward / Total reward (mean),3200.0,70.75350952148438,32.797694396972645
train_mean_reward,Reward / Total reward (mean),4000.0,61.6436767578125,38.566890869140614
train_mean_reward,Reward / Total reward (mean),4800.0,-19.79073143005371,26.89536640930175
train_mean_reward,Reward / Total reward (mean),5600.0,65.4451904296875,34.605331213378896
train_mean_reward,Reward / Total reward (mean),6400.0,86.35520935058594,44.9553068408203
train_mean_reward,Reward / Total reward (mean),7200.0,93.72447204589844,54.709139881835924
train_mean_reward,Reward / Total reward (mean),8000.0,65.576416015625,56.88259510859374
train_mean_reward,Reward / Total reward (mean),8800.0,67.28067016601562,58.96221012007812
train_mean_reward,Reward / Total reward (mean),9600.0,71.74337768554688,61.51844363317187
train_mean_reward,Reward / Total reward (mean),11200.0,36.457298278808594,56.50621456229922
train_mean_reward,Reward / Total reward (mean),12000.0,101.49562072753906,65.50409579534718
train_mean_reward,Reward / Total reward (mean),12800.0,13.314984321594238,55.0662735005966
train_mean_reward,Reward / Total reward (mean),13600.0,75.16704559326172,59.08642791912962
train_mean_reward,Reward / Total reward (mean),14400.0,29.05288314819336,53.079718964942366
train_mean_reward,Reward / Total reward (mean),15200.0,47.47560501098633,51.958896174151164
train_mean_reward,Reward / Total reward (mean),16000.0,83.1187515258789,58.190867244496715
train_mean_reward,Reward / Total reward (mean),16800.0,79.6371841430664,62.48013062421066
train_mean_reward,Reward / Total reward (mean),17600.0,90.24052429199219,68.03220935776696
train_mean_reward,Reward / Total reward (mean),18400.0,90.88949584960938,72.60366665613545
train_mean_reward,Reward / Total reward (mean),19200.0,76.52754211425781,73.38844174775991
train_mean_reward,Reward / Total reward (mean),20000.0,75.6466293334961,73.84007926490715
train_mean_reward,Reward / Total reward (mean),20800.0,86.84188842773438,76.44044109747259
train_mean_reward,Reward / Total reward (mean),21600.0,87.7606430053711,78.70448147905229
train_mean_reward,Reward / Total reward (mean),22400.0,90.42406463623047,81.04839811048792
train_mean_reward,Reward / Total reward (mean),23200.0,91.97908020019531,83.2345345284294
train_mean_reward,Reward / Total reward (mean),24000.0,92.71418762207031,85.13046514715758
train_mean_reward,Reward / Total reward (mean),24800.0,92.8538589477539,86.67514390727685
train_mean_reward,Reward / Total reward (mean),25600.0,84.0685043334961,86.15381599252069
train_mean_reward,Reward / Total reward (mean),26400.0,82.86432647705078,85.49591808942671
train_mean_reward,Reward / Total reward (mean),27200.0,94.44979858398438,87.28669418833823
train_mean_reward,Reward / Total reward (mean),28000.0,85.30411529541016,86.89017840975261
train_mean_reward,Reward / Total reward (mean),28800.0,88.54033660888672,87.22021004957942
train_mean_reward,Reward / Total reward (mean),29600.0,77.78995513916016,85.33415906749558
train_mean_reward,Reward / Total reward (mean),30400.0,88.40658569335938,85.94864439266834
train_mean_reward,Reward / Total reward (mean),31200.0,91.0048599243164,86.95988749899794
train_mean_reward,Reward / Total reward (mean),32000.0,90.35623931884766,87.63915786296789
train_mean_reward,Reward / Total reward (mean),32800.0,86.6778564453125,87.44689757943682
train_mean_reward,Reward / Total reward (mean),33600.0,101.23812866210938,90.20514379597132
train_mean_reward,Reward / Total reward (mean),34400.0,83.75843811035156,88.91580265884737
train_mean_reward,Reward / Total reward (mean),35200.0,87.73492431640625,88.67962699035914
train_mean_reward,Reward / Total reward (mean),36000.0,100.41166687011719,91.02603496631075
train_mean_reward,Reward / Total reward (mean),36800.0,85.96981811523438,90.01479159609546
train_mean_reward,Reward / Total reward (mean),37600.0,88.15950775146484,89.64373482716934
train_mean_reward,Reward / Total reward (mean),38400.0,101.37100982666016,91.9891898270675
train_mean_reward,Reward / Total reward (mean),39200.0,95.0865707397461,92.60866600960321
train_mean_reward,Reward / Total reward (mean),40000.0,99.0885238647461,93.90463758063179
train_mean_reward,Reward / Total reward (mean),40800.0,98.77933502197266,94.87957706889996
train_mean_reward,Reward / Total reward (mean),41600.0,83.64038848876953,92.63173935287388
train_mean_reward,Reward / Total reward (mean),42400.0,86.260009765625,91.35739343542411
train_mean_reward,Reward / Total reward (mean),43200.0,89.4686050415039,90.97963575664006
train_mean_reward,Reward / Total reward (mean),44000.0,101.9183120727539,93.16737101986283
train_mean_reward,Reward / Total reward (mean),44800.0,89.29947662353516,92.39379214059728
train_mean_reward,Reward / Total reward (mean),45600.0,86.69987487792969,91.25500868806377
train_mean_reward,Reward / Total reward (mean),46400.0,91.00167846679688,91.20434264381038
