metric,env_steps,ppo_mean,ppo_std,dreamer_mean,dreamer_std,ppo_seed_0,ppo_seed_1,dreamer_seed_0,dreamer_seed_1,dreamer_seed_2,ppo_raw_seed_0,ppo_raw_seed_1,dreamer_raw_seed_0,dreamer_raw_seed_1,dreamer_raw_seed_2
mean_episode_return,0.0,-0.3069399893283844,1.1211194694042206,-3.1759045918782554,0.004933604424715955,-1.428059458732605,0.8141794800758362,-3.16900897026062,-3.1802735328674316,-3.178431272506714,-1.428059458732605,0.8141794800758362,-3.16900897026062,-3.1802735328674316,-3.178431272506714
mean_episode_return,1000.0,-0.3069399893283844,1.1211194694042206,-2.337285561356333,0.03331721782726606,-1.428059458732605,0.8141794800758362,-2.329745833253945,-2.3007761518201004,-2.381334698994954,-1.428059458732605,0.8141794800758362,-1.4904826962472697,-1.4212787707727692,-1.584238125483195
mean_episode_return,2000.0,-0.3069399893283844,1.1211194694042206,-1.459800051701488,0.06833421657294232,-1.428059458732605,0.8141794800758362,-1.451586365476907,-1.3805177513302904,-1.5472960382972667,-1.428059458732605,0.8141794800758362,0.3047325700771695,0.4599990496493298,0.12078128309810854
mean_episode_return,3000.0,-0.3069399893283844,1.1211194694042206,-0.5725979222634118,0.10386639897895493,-1.428059458732605,0.8141794800758362,-0.563702815007278,-0.45006909597986056,-0.7040218558030968,-1.428059458732605,0.8141794800758362,2.0999478364016086,2.341276870071429,1.8258006916794125
mean_episode_return,4000.0,1.763380517065525,0.061573524773120836,0.31849085508795666,0.1395849707229727,1.7018069922924042,1.8249540418386458,0.32807036853938704,0.4844556613148171,0.14294653540966581,14.22127279639244,5.868052288889885,3.8951631027260474,4.222554690493528,3.5308201002607165
mean_episode_return,5000.0,5.3001780488217864,1.748484130638341,1.2115229563959713,0.17539347486158743,7.048662179460128,3.551693918183446,1.2217883686245703,1.4210184695816188,0.9917620309817248,33.78293811529875,12.185393299907446,5.690378369050487,6.103832510915627,5.2358395088420195
mean_episode_return,6000.0,9.674962452213679,3.987405620781439,2.093488137600913,0.21454093260032356,13.662368072995118,5.68755683143224,2.160955685692862,2.315933627171981,1.8035750999378954,53.344603434205055,18.502734310925007,7.795959588102611,7.685424572714155,6.67445351367492
mean_episode_return,7000.0,14.373384460574016,5.485365239204839,2.9677957567259754,0.26798935103981975,19.858749699778855,8.888019221369177,3.1312258562134705,3.182214781925059,2.589946632039397,63.233421087265015,31.291255950927734,9.92311704985773,9.246182865196603,8.09454735674991
mean_episode_return,8000.0,19.16898461162216,5.891423302599126,3.8369983344644525,0.3398626562920926,25.060407914221287,13.277561309023035,4.122231262368957,4.029406601453281,3.3593571395711197,66.67367362976074,48.393898010253906,12.050274511612848,10.806941157679052,9.5146411998249
mean_episode_return,9000.0,24.032609462551775,5.533150277473032,4.702627383232319,0.42802179508841137,29.565759740024806,18.49945918507874,5.127751333468858,4.863235886324103,4.116894929903997,70.11392617225647,65.49654006958008,14.177431973367966,12.367699450161503,10.934735042899892
mean_episode_return,10000.0,28.57688504982401,4.84653350253674,5.565657501839742,0.5288012226256159,33.42341855236075,23.73035154728727,6.143827524528333,5.687346964171362,4.865798016819531,72.00000667572021,76.03927516937256,16.304589435123084,13.928457742643952,12.354828885974882
mean_episode_return,11000.0,32.374518751942865,4.226517347774157,6.686985209430522,0.6303324464691348,36.60103609971702,28.148001404168706,7.4033275520388075,6.788290616144782,5.8693374601079755,71.55482912063599,76.7421498298645,21.257827854654042,18.898670787852407,16.908271336280855
mean_episode_return,12000.0,35.597812542405265,3.6577324392990445,8.023703698637531,0.7297635423002669,39.25554498170431,31.940080103106222,8.865189416906116,8.120414780418228,7.08550689858825,71.10965156555176,77.44502449035645,26.40753179531381,24.105904751699565,21.679540160351543
mean_episode_return,13000.0,38.29472944552877,3.170001249893435,9.529657801971577,0.8268719285879115,41.464730695422205,35.124728195635335,10.486049868268077,9.634180775784548,8.468742761862107,70.18414497375488,76.5251533985138,31.557235735973567,29.313138715546728,26.450808984422235
mean_episode_return,14000.0,40.29013486690819,2.899435264493029,11.171000396607253,0.9219990175870392,43.18957013140122,37.39069960241516,12.234109188825759,11.293260236025171,9.985631764970828,67.33732223510742,69.11429929733276,36.706939676633326,34.52037267939389,31.222077808492926
mean_episode_return,15000.0,41.715562209370546,2.805316007346846,12.922346140425503,1.0155818823814182,44.52087821671739,38.9102462020237,14.085517590604967,13.070406886476164,11.611113944195377,64.49049949645996,61.70344519615173,41.85664361729309,39.727606643241046,35.993346632563615
mean_episode_return,16000.0,42.67159583978355,2.8565058205276728,14.518634675285364,1.0837766553770594,45.52810166031122,39.81509001925588,15.743219722878742,14.704559762180445,13.10812454079691,61.6436767578125,54.2925910949707,42.26645383925915,40.85100577344895,37.06029408642143
mean_episode_return,17000.0,42.775201125173936,2.234418453959126,15.969580462831113,1.129752322245412,45.00961957913306,40.54078267121481,17.221193779007013,16.203778772465288,14.483768837021042,36.19542419910431,52.8775577545166,42.34675273318768,41.69050194730759,37.869721872831285
mean_episode_return,18000.0,42.1609720147558,1.045360830759531,17.29813235790182,1.15772402445333,43.20633284551533,41.115611183996265,18.547817876275918,17.589369264502178,15.757209932927363,10.747171640396118,51.4625244140625,42.42705162711621,42.52999812116623,38.67914965924114
mean_episode_return,19000.0,40.936583667900415,0.6256215105764582,18.52264944436874,1.1712470490152689,40.31096215732396,41.56220517847687,19.745794508514358,18.878375516028314,16.943778308563544,-14.701080918312073,50.0474910736084,42.50735052104473,43.36949429502487,39.48857744565099
mean_episode_return,20000.0,40.486397533100984,2.0227074292266636,19.657993837746698,1.1733943296594171,38.46369010387432,42.50910496232765,20.833501885012403,20.084595275688084,18.055884352539607,1.5182490348815918,61.44710063934326,42.58764941497326,44.20899046888351,40.298005232060845
mean_episode_return,21000.0,42.98208147420415,3.109699271530623,21.88178779556399,1.2809154966134664,39.87238220267353,46.09178074573477,23.11335035724613,22.41646599106008,20.115547038385756,28.15447461605072,76.05037093162537,44.707808946647646,45.78901148994446,40.074485130262374
mean_episode_return,22000.0,46.45965817419901,3.9101921783848894,24.082826608727785,1.4394329177900413,42.54946599581412,50.369850352583896,25.42098177001291,24.74226559195291,22.085232464217533,54.79070019721985,90.65364122390747,46.96977697185516,47.42051284797668,39.77915581698417
mean_episode_return,23000.0,50.331121979636094,4.410518915436807,26.25555792307625,1.6480272103371316,45.92060306419929,54.741640895072905,27.750839504631273,27.056171075589084,23.95966318900839,69.36581897735596,92.62178087234497,49.231744997062684,49.05201420600891,39.48382650370598
mean_episode_return,24000.0,54.2044691215491,4.601567993117939,28.39998173860937,1.9061163816866737,49.602901128431164,58.80603711466704,30.102923561101203,29.358182441968594,25.738839212758307,75.90019989013672,86.16650009155273,51.4937130222702,50.68351556404114,39.188497190427775
mean_episode_return,25000.0,57.58676614603471,4.7356122553880695,30.516098055327152,2.21334373830541,52.85115389064664,62.32237840142278,32.47723393942271,31.648299691091445,27.4227605354673,82.43458080291748,79.7112193107605,53.75568104747772,52.31501692207337,38.89316787714958
mean_episode_return,26000.0,60.38690105275738,4.98844101581545,32.59990483364418,2.53378152985024,55.398460036941934,65.37534206857283,34.84637964034856,33.89432879380989,29.059006066774092,87.2763671875,76.2976303100586,55.44243808849335,53.27044366800308,39.596995666284556
