metric,tag,iteration,raw_value,smoothed_value
train_mean_reward,Train/mean_reward,83.0,26.4460506439209,24.750435679343425
train_mean_reward,Train/mean_reward,84.0,26.4460506439209,25.089558672258917
train_mean_reward,Train/mean_reward,85.0,26.4460506439209,25.360857066591315
train_mean_reward,Train/mean_reward,86.0,26.4460506439209,25.577895782057233
train_mean_reward,Train/mean_reward,87.0,26.4460506439209,25.751526754429968
train_mean_reward,Train/mean_reward,88.0,27.087669372558594,26.018755278055693
train_mean_reward,Train/mean_reward,89.0,27.087669372558594,26.232538096956276
train_mean_reward,Train/mean_reward,90.0,27.087669372558594,26.403564352076742
train_mean_reward,Train/mean_reward,91.0,27.087669372558594,26.540385356173115
train_mean_reward,Train/mean_reward,92.0,27.087669372558594,26.649842159450213
train_mean_reward,Train/mean_reward,93.0,27.087669372558594,26.73740760207189
train_mean_reward,Train/mean_reward,94.0,27.087669372558594,26.807459956169232
train_mean_reward,Train/mean_reward,95.0,27.087669372558594,26.863501839447107
train_mean_reward,Train/mean_reward,96.0,27.087669372558594,26.908335346069407
train_mean_reward,Train/mean_reward,97.0,27.087669372558594,26.944202151367247
train_mean_reward,Train/mean_reward,98.0,27.087669372558594,26.972895595605518
train_mean_reward,Train/mean_reward,99.0,27.087669372558594,26.995850350996136
train_mean_reward,Train/mean_reward,100.0,27.087669372558594,27.01421415530863
train_mean_reward,Train/mean_reward,101.0,27.087669372558594,27.028905198758622
train_mean_reward,Train/mean_reward,102.0,27.087669372558594,27.040658033518618
train_mean_reward,Train/mean_reward,103.0,27.087669372558594,27.050060301326614
train_mean_reward,Train/mean_reward,104.0,27.087669372558594,27.057582115573013
train_mean_reward,Train/mean_reward,105.0,27.087669372558594,27.06359956697013
train_mean_reward,Train/mean_reward,106.0,27.087669372558594,27.068413528087824
train_mean_reward,Train/mean_reward,107.0,27.087669372558594,27.07226469698198
train_mean_reward,Train/mean_reward,108.0,27.087669372558594,27.075345632097303
train_mean_reward,Train/mean_reward,109.0,27.087669372558594,27.07781038018956
train_mean_reward,Train/mean_reward,110.0,27.087669372558594,27.07978217866337
train_mean_reward,Train/mean_reward,111.0,27.087669372558594,27.081359617442416
train_mean_reward,Train/mean_reward,112.0,27.087669372558594,27.082621568465655
train_mean_reward,Train/mean_reward,113.0,27.087669372558594,27.083631129284242
train_mean_reward,Train/mean_reward,114.0,27.087669372558594,27.084438777939113
train_mean_reward,Train/mean_reward,115.0,27.087669372558594,27.08508489686301
train_mean_reward,Train/mean_reward,116.0,27.087669372558594,27.085601792002127
train_mean_reward,Train/mean_reward,117.0,27.087669372558594,27.08601530811342
train_mean_reward,Train/mean_reward,118.0,27.087669372558594,27.086346121002457
train_mean_reward,Train/mean_reward,119.0,27.087669372558594,27.086610771313687
train_mean_reward,Train/mean_reward,120.0,27.087669372558594,27.08682249156267
train_mean_reward,Train/mean_reward,121.0,27.087669372558594,27.086991867761856
train_mean_reward,Train/mean_reward,122.0,27.087669372558594,27.087127368721205
train_mean_reward,Train/mean_reward,123.0,26.538410186767578,26.977383932330483
