metric,tag,iteration,mean,std,seed_0,seed_1,raw_seed_0,raw_seed_1
train_mean_reward,Train/mean_reward,0.0,-0.0007888227701187134,0.17280741035938263,-0.17359623312950134,0.17201858758926392,-0.17359623312950134,0.17201858758926392
train_mean_reward,Train/mean_reward,12.498,-0.5678339702617378,0.4013752443302423,-0.16645872593149547,-0.9692092145919801,-0.1379086971394719,-5.534120423316957
train_mean_reward,Train/mean_reward,24.996,0.35538806585222465,1.2424901041594147,1.5978781700116393,-0.88710203830719,8.65522575378418,-0.55867333316803
train_mean_reward,Train/mean_reward,37.494,1.6973524005234237,1.7591783230469225,3.456530723570346,-0.06182592252349883,10.891140937805176,3.239278540611267
train_mean_reward,Train/mean_reward,49.992,3.7353275724267947,1.208125193990517,4.943452766417312,2.5272023784362774,10.891140937805176,12.883315582275387
train_mean_reward,Train/mean_reward,62.489999999999995,5.841176956813809,0.6399659726438904,6.4811429294577,5.2012109841699194,12.631903581619257,15.897245407104492
train_mean_reward,Train/mean_reward,74.988,8.511898214468381,1.1714803457115477,9.683378560179928,7.340417868756833,22.49232108306885,15.897245407104492
train_mean_reward,Train/mean_reward,87.48599999999999,11.075030846889035,2.02324747046267,13.098278317351705,9.051783376426364,26.75787734603881,15.897245407104492
train_mean_reward,Train/mean_reward,99.984,13.00062841057397,2.8955281178191106,15.896156528393082,10.10510029275486,27.087669372558594,14.318367958068848
train_mean_reward,Train/mean_reward,112.482,14.54110646152192,3.5933526357042638,18.134459097226184,10.947753825817657,27.087669372558594,14.318367958068848
train_mean_reward,Train/mean_reward,124.97999999999999,15.718562983701178,4.096686331433284,19.815249315134462,11.621876652267893,26.538410186767578,14.318367958068848
train_mean_reward,Train/mean_reward,137.47799999999998,17.10063311706348,4.085323093924705,21.185956210988184,13.015310023138774,26.668783794403073,18.589043506622307
train_mean_reward,Train/mean_reward,149.976,20.274687481199614,4.166170425823358,24.44085790702297,16.108517055376254,37.46046469116211,28.48134518432617
train_mean_reward,Train/mean_reward,162.474,24.09595308936032,4.370797262136959,28.466750351497282,19.725155827223364,44.57032012939453,34.19171091461182
train_mean_reward,Train/mean_reward,174.97199999999998,27.6143049092324,4.641704917863866,32.256009827096264,22.972599991368533,47.41304772949218,35.9623766479492
train_mean_reward,Train/mean_reward,187.47,31.076347549059502,4.681535538447587,35.75788308750709,26.394812010611915,49.76537612915039,40.08366008758545
train_mean_reward,Train/mean_reward,199.968,35.04623806427201,5.5188574560266215,40.565095520298634,29.52738060824539,59.79394525146482,42.0576549987793
train_mean_reward,Train/mean_reward,212.46599999999998,39.258957896791145,6.855389637611822,46.11434753440297,32.40356825917932,68.31135559082031,43.90831886291504
train_mean_reward,Train/mean_reward,224.964,43.50881052061895,7.971638454169046,51.480448974788,35.537172066449905,72.94485473632812,48.071587295532225
train_mean_reward,Train/mean_reward,237.462,48.00437857015116,8.88525862481595,56.889637194967115,39.119119945335214,78.5263900756836,53.44691146087645
train_mean_reward,Train/mean_reward,249.95999999999998,52.61876146207796,9.280097646923075,61.89885910900104,43.33866381515489,81.93574676513671,60.21683929443357
train_mean_reward,Train/mean_reward,262.45799999999997,57.1843904898528,8.900231236434951,66.08462172628775,48.28415925341785,82.82767219543459,68.06614100646969
train_mean_reward,Train/mean_reward,274.95599999999996,61.135255769567785,7.891410727673353,69.02666649724114,53.24384504189443,80.79484558105469,73.08258819580078
train_mean_reward,Train/mean_reward,287.454,65.05979053179192,7.380144292587907,72.43993482437983,57.67964623920402,86.09300813293457,75.42285102844238
train_mean_reward,Train/mean_reward,299.952,68.62635051625386,7.101440287585952,75.72779080383981,61.524910228667906,88.87921472167969,76.90596618652344
train_mean_reward,Train/mean_reward,312.45,71.8540188743068,6.881569176479893,78.73558805078669,64.9724496978269,90.76677703857422,78.76260757446288
train_mean_reward,Train/mean_reward,324.948,74.79112138606652,6.350704462277669,81.1418258483442,68.44041692378886,90.76677703857422,82.3122858276367
train_mean_reward,Train/mean_reward,337.44599999999997,77.17905926705635,5.716490645017444,82.89554991207379,71.4625686220389,89.91044616699219,83.55117541503907
train_mean_reward,Train/mean_reward,349.94399999999996,79.19227356720954,5.0282755543440345,84.22054912155357,74.1639980128655,89.52054595947266,84.96971557617188
train_mean_reward,Train/mean_reward,362.442,81.36656611786675,3.799893931329237,85.16646004919599,77.56667218653752,88.95010375976562,91.17736888122559
train_mean_reward,Train/mean_reward,374.94,83.31741366089497,2.6057751304149477,85.92318879130991,80.71163853048002,88.95010375976562,93.29150390625
train_mean_reward,Train/mean_reward,387.438,84.54031169653823,1.541195879478444,86.08150757601668,82.99911581705979,86.71478271484375,92.1490249633789
