metric,env_steps,ppo_mean,ppo_std,dreamer_mean,dreamer_std,ppo_seed_0,ppo_seed_1,dreamer_seed_0,dreamer_seed_1
mean_episode_return,0.0,-0.0007888227701187134,0.17280741035938263,-1.033912595648032,0.13510907040192532,-0.17359623312950134,0.17201858758926392,-1.1690216660499573,-0.8988035252461066
mean_episode_return,1200.0,-1.6005946420133115,1.0401534177362919,-1.1492256813280703,0.2504221560819636,-0.5604412242770195,-2.6407480597496034,-1.3996478374100338,-0.8988035252461066
mean_episode_return,2400.0,-0.1259072080254553,2.224178318679333,-1.1612713980370697,0.2624678727909632,2.0982711106538776,-2.350085526704788,-1.423739270828033,-0.8988035252461066
mean_episode_return,3600.0,4.456992343813182,4.743045588582755,-1.1733171147460695,0.27451358949996274,9.200037932395936,-0.2860532447695732,-1.447830704246032,-0.8988035252461066
mean_episode_return,4800.0,6.555494385957718,4.335646551847457,-1.1853628314550688,0.2865593062089623,10.891140937805176,2.21984783411026,-1.4719221376640312,-0.8988035252461066
mean_episode_return,6000.0,10.281487679481506,0.6096532583236698,-1.0596759112162166,0.7341387599240419,10.891140937805176,9.671834421157836,-1.7938146711402585,-0.32553715129217475
mean_episode_return,7200.0,12.93779876232147,1.8955080747604365,-0.6082858944851821,1.0752829007330054,11.042290687561035,14.833306837081908,-1.6835687952181875,0.46699700624782325
mean_episode_return,8400.0,14.561946082115174,1.335299324989319,-0.15689587775414748,1.416427041541969,13.226646757125854,15.897245407104492,-1.5733229192961165,1.2595311637878215
mean_episode_return,9600.0,18.457624244689942,2.56037883758545,0.2944941389768869,1.7575711823509323,21.018003082275392,15.897245407104492,-1.4630770433740454,2.0520653213278193
mean_episode_return,10800.0,21.054957771301268,5.157712364196778,0.45546738121595276,2.230714445074275,26.212670135498048,15.897245407104492,-1.7752470638583222,2.6861818262902277
mean_episode_return,12000.0,21.305041432380676,5.7826279401779175,0.7357950284444756,2.4583383459649304,27.087669372558594,15.522413492202759,-1.7225433175204548,3.194133374409406
mean_episode_return,13200.0,20.70301866531372,6.384650707244873,1.0161226756729986,2.6859622468555857,27.087669372558594,14.318367958068848,-1.669839571182587,3.7020849225285843
mean_episode_return,14400.0,20.70301866531372,6.384650707244873,1.2964503229015216,2.9135861477462415,27.087669372558594,14.318367958068848,-1.6171358248447196,4.210036470647763
mean_episode_return,15600.0,20.70301866531372,6.384650707244873,1.2641202829323364,3.324864146606399,27.087669372558594,14.318367958068848,-2.0607438636740625,4.588984429538735
mean_episode_return,16800.0,20.33725161552429,6.326866388320923,1.455158841044062,3.3109987026953736,26.664118003845214,14.010385227203368,-1.8558398616513119,4.7661575437394355
mean_episode_return,18000.0,23.242715883255006,3.7899510860443115,1.6461973991557874,3.2971332587843483,27.032666969299317,19.452764797210694,-1.650935859628561,4.943330657940136
mean_episode_return,19200.0,31.214191818237307,4.473803329467774,1.8372359572675128,3.283267814873323,35.68799514770508,26.740388488769533,-1.4460318576058104,5.120503772140836
mean_episode_return,20400.0,37.7159051656723,4.906659913063049,1.6218825674383668,3.6483028830308735,42.62256507873535,32.80924525260925,-2.0264203155925067,5.27018545046924
mean_episode_return,21600.0,40.318612575531006,5.395705318450929,1.8523801016820158,3.4718824814701854,45.714317893981935,34.92290725708008,-1.6195023797881694,5.324262583152201
mean_episode_return,22800.0,42.14529004096985,5.226669836044309,2.0828776359256653,3.295462079909497,47.371959877014156,36.91862020492554,-1.2125844439838318,5.378339715835162
mean_episode_return,24000.0,44.30875873565674,4.361825752258298,2.313375170169314,3.1190416783488084,48.670584487915036,39.94693298339844,-0.8056665081794943,5.432416848518122
mean_episode_return,25200.0,47.01726746559143,6.134807252883913,2.7263904866133513,2.8135669857939405,53.15207471847535,40.88246021270752,-0.08717649918058931,5.539957472407292
mean_episode_return,26400.0,53.158935546875,10.4546480178833,3.360152058904407,3.1773559204130626,63.6135835647583,42.7042875289917,0.1827961384913439,6.5375079793174695
mean_episode_return,27600.0,56.305885791778564,12.476523494720457,3.9939136311954617,3.5411448550321842,68.78240928649902,43.829362297058104,0.4527687761632771,7.535058486227646
mean_episode_return,28800.0,59.4339900970459,12.665443801879881,4.627675203486517,3.904933789651307,72.09943389892578,46.76854629516602,0.7227414138352103,8.532608993137824
mean_episode_return,30000.0,63.498392248153685,12.483261728286742,5.261436775777572,4.268722724270428,75.98165397644043,51.01513051986694,0.9927140515071435,9.530159500048
mean_episode_return,31200.0,68.35262594223022,12.111822986602782,6.464700544901058,4.430123454390541,80.46444892883301,56.240802955627444,2.034577090510517,10.8948239992916
mean_episode_return,32400.0,71.6457670211792,10.469014549255373,7.320603826848948,4.984258311188133,82.11478157043457,61.17675247192383,2.336345515660815,12.30486213803708
mean_episode_return,33600.0,75.01578063964843,7.8882881164550795,8.176507108796837,5.538393167985724,82.90406875610351,67.12749252319335,2.638113940811114,13.714900276782561
mean_episode_return,34800.0,76.31400470733642,4.251924514770508,9.032410390744728,6.092528024783315,80.56592922210693,72.06208019256592,2.9398823659614126,15.124938415528042
mean_episode_return,36000.0,79.16560897827148,5.1511665344238295,10.008874866577301,6.923933641996702,84.31677551269532,74.01444244384766,3.0849412245805987,16.932808508574002
mean_episode_return,37200.0,80.71365642547607,5.191059303283694,11.055784908456426,7.837059832366017,85.90471572875977,75.52259712219238,3.2187250760904087,18.892844740822444
