metric,env_steps,state_mean,state_std,vision_mean,vision_std,state_seed_0,state_seed_1,vision_seed_0,vision_seed_1,state_raw_seed_0,state_raw_seed_1,vision_raw_seed_0,vision_raw_seed_1
mean_episode_return,0.0,-0.0007888227701187134,0.17280741035938263,-0.3069399893283844,1.1211194694042206,-0.17359623312950134,0.17201858758926392,-1.428059458732605,0.8141794800758362,-0.17359623312950134,0.17201858758926392,-1.428059458732605,0.8141794800758362
mean_episode_return,1600.0,-1.4172062899451703,1.2616682921070606,-0.3069399893283844,1.1211194694042206,-0.15553799783810973,-2.678874582052231,-1.428059458732605,0.8141794800758362,-0.13747976254671812,-5.529767751693726,-1.428059458732605,0.8141794800758362
mean_episode_return,3200.0,0.4047222617082298,2.3766609909944236,-0.3069399893283844,1.1211194694042206,2.7813832527026534,-1.9719387292861938,-1.428059458732605,0.8141794800758362,8.65522575378418,-0.5580670237541199,-1.428059458732605,0.8141794800758362
mean_episode_return,4800.0,2.070140159339644,2.73868251463864,4.868861276656389,1.5277453921735287,4.808822673978284,-0.668542355298996,6.396606668829918,3.3411158844828606,10.891140937805176,3.2416467666625977,29.870605051517487,10.921925097703934
mean_episode_return,6400.0,4.034662752319127,1.9906235744245353,12.114983049035072,5.2361561983823774,6.025286326743663,2.044039177894592,17.35113924741745,6.878826850652695,10.891140937805176,12.894365310668945,61.16926956176758,21.02967071533203
mean_episode_return,8000.0,5.740476989885792,1.3875701071228832,19.68478351086378,5.886778133610885,7.128047097008675,4.352906882762909,25.571561644474667,13.798005377252897,12.64185094833374,15.897245407104492,66.67367362976074,48.393898010253906
mean_episode_return,9600.0,7.662769236003182,1.6606711354771897,27.439543223806794,4.790092142564911,9.323440371480372,6.002098100525992,32.2296353663717,22.64945108124188,22.495800018310547,15.897245407104492,72.1780776977539,75.75812530517578
mean_episode_return,11200.0,9.371429669961799,2.132438156113494,33.28138271905482,3.8527724277228117,11.503867826075293,7.238991513848305,37.13415514677763,29.428610291332006,26.766860008239746,15.897245407104492,71.46579360961914,76.88272476196289
mean_episode_return,12800.0,10.63049511388979,2.6049062173503144,37.84794206917286,3.021696897016632,13.235401331240105,8.025588896539476,40.86963896618949,34.82624517215623,27.087669372558594,14.318367958068848,70.75350952148438,78.00732421875
mean_episode_return,14400.0,11.637747469032185,2.98288066633977,40.68057540208101,2.721958981454371,14.620628135371954,8.654866802692414,43.40253438353538,37.95861642062664,27.087669372558594,14.318367958068848,66.19859313964844,66.14995765686035
mean_episode_return,16000.0,12.43689670570364,3.2671661616133694,42.25217163156379,2.8086484223604202,15.70406286731701,9.169730544090271,45.06082005392421,39.44352320920337,26.538410186767578,14.318367958068848,61.6436767578125,54.2925910949707
