metric,env_steps,state_mean,state_std,vision_mean,vision_std,state_seed_0,state_seed_1,vision_seed_0,vision_seed_1
mean_episode_return,0.0,-1.033912595648032,0.13510907040192532,-3.174641251564026,0.005632281303405762,-1.1690216660499573,-0.8988035252461066,-3.16900897026062,-3.1802735328674316
mean_episode_return,1000.0,-1.1472180618765702,0.24841453663046364,-2.3152609925370227,0.014484840716922243,-1.395632598507034,-0.8988035252461066,-2.329745833253945,-2.3007761518201004
mean_episode_return,2000.0,-1.1572561591340698,0.25845263388796325,-1.3961377208503882,0.0360004792413372,-1.4157087930220331,-0.8988035252461066,-1.4321382000917253,-1.360137241609051
mean_episode_return,3000.0,-1.1672942563915696,0.26849073114546296,-0.4770144491637536,0.05751611776575216,-1.4357849875370325,-0.8988035252461066,-0.5345305669295057,-0.4194983313980014
mean_episode_return,4000.0,-1.1773323536490692,0.27852882840296256,0.44210882252288086,0.07903175629016723,-1.4558611820520317,-0.8988035252461066,0.36307706623271363,0.5211405788130481
mean_episode_return,5000.0,-1.1873704509065688,0.28856692566046216,1.3612320942095155,0.10054739481458208,-1.475937376567031,-0.8988035252461066,1.2606846993949334,1.4617794890240976
mean_episode_return,6000.0,-1.0596759112162166,0.7341387599240419,2.2821353982468358,0.020387748113787962,-1.7938146711402585,-0.32553715129217475,2.2617476501330476,2.3025231463606235
mean_episode_return,7000.0,-0.6835175639403545,1.0184255439315115,3.2031624478486416,0.06684023392351879,-1.7019431078718659,0.33490797999115696,3.2700026817721604,3.136322213925123
mean_episode_return,8000.0,-0.3073592166644924,1.302712327938981,4.124189497450448,0.15406821596082532,-1.6100715446034735,0.9953531112744887,4.278257713411273,3.9701212814896225
mean_episode_return,9000.0,0.06879913061136977,1.5869991119464506,5.045216547052254,0.24129619799813184,-1.5181999813350808,1.6557982425578204,5.286512745050386,4.803920349054122
mean_episode_return,10000.0,0.44495747788723194,1.8712858959539203,5.96624359665406,0.3285241800354384,-1.4263284180666884,2.3162433738411523,6.294767776689498,5.637719416618621
mean_episode_return,11000.0,0.5021886557540398,2.268651761889384,7.667157618156268,0.36824925901027594,-1.7664631061353444,2.770840417643424,8.035406877166544,7.298908359145992
mean_episode_return,12000.0,0.7357950284444756,2.4583383459649304,9.422288381020536,0.40467199713050483,-1.7225433175204548,3.194133374409406,9.82696037815104,9.017616383890031
mean_episode_return,13000.0,0.9694014011349115,2.6480249300404766,11.177419143884805,0.44109473525073284,-1.678623528905565,3.617426331175388,11.618513879135538,10.736324408634072
mean_episode_return,14000.0,1.203007773825347,2.8377115141160223,12.932549906749074,0.47751747337096173,-1.6347037402906754,4.04071928794137,13.410067380120035,12.455032433378111
mean_episode_return,15000.0,1.436614146515783,3.0273980981915685,14.687680669613341,0.5139402114911906,-1.5907839516757858,4.464012244707352,15.201620881104532,14.17374045812215
mean_episode_return,16000.0,1.3277998023029114,3.3202423319693906,15.872393366004475,0.4657558998809872,-1.992442529666479,4.648042134272302,16.338149265885463,15.406637466123488
mean_episode_return,17000.0,1.4869986007293494,3.308687795376869,17.017451330501753,0.4116898147601127,-1.82168919464752,4.795686396106219,17.429141145261866,16.60576151574164
mean_episode_return,18000.0,1.6461973991557874,3.2971332587843483,18.162509294999033,0.35762372963923816,-1.650935859628561,4.943330657940136,18.52013302463827,17.804885565359793
mean_episode_return,19000.0,1.8053961975822248,3.285578722191827,19.30756725949631,0.30355764451836365,-1.480182524609602,5.090974919774052,19.611124904014673,19.004009614977946
mean_episode_return,20000.0,1.964594996008663,3.2740241855993064,20.452625223993586,0.24949155939748913,-1.3094291895906434,5.2386191816079695,20.702116783391077,20.2031336645961
mean_episode_return,21000.0,1.7371313345601913,3.5600926822505294,22.634040138560337,0.27347336792289667,-1.8229613476903381,5.297224016810721,22.907513506483234,22.36056677063744
mean_episode_return,22000.0,1.9292126130965657,3.4130756809499556,24.887501258212133,0.3028809658461764,-1.4838630678533902,5.342288294046521,25.190382224058308,24.584620292365955
mean_episode_return,23000.0,2.1212938916329396,3.266058679649382,27.14096237786393,0.33228856376945437,-1.1447647880164422,5.387352571282322,27.47325094163338,26.808673814094472
mean_episode_return,24000.0,2.313375170169314,3.1190416783488084,29.39442349751572,0.3616961616927341,-0.8056665081794943,5.432416848518122,29.756119659208455,29.032727335822987
mean_episode_return,25000.0,2.5054564487056883,2.9720246770482346,31.647884617167513,0.39110375961601385,-0.4665682283425465,5.477481125753923,32.03898837678353,31.2567808575515
mean_episode_return,26000.0,3.1488982014740547,3.0560929422066887,33.79650446091198,0.49759320251937567,0.09280525926736617,6.2049911436807434,34.29409766343136,33.29891125839261
mean_episode_return,27000.0,3.677032845049934,3.3592503877226236,35.93783587371102,0.6094412763571775,0.31778245732731053,7.036283232772558,36.5472771500682,35.32839459735384
mean_episode_return,28000.0,4.205167488625813,3.6624078332385586,38.07916728651006,0.7212893501949829,0.5427596553872548,7.867575321864372,38.80045663670504,37.35787793631508
mean_episode_return,29000.0,4.733302132201692,3.9655652787544935,40.220498699309104,0.8331374240327882,0.7677368534471992,8.698867410956186,41.05363612334189,39.38736127527631
mean_episode_return,30000.0,5.261436775777572,4.268722724270428,42.36183011210814,0.9449854978705936,0.9927140515071435,9.530159500048,43.306815609978734,41.41684461423755
mean_episode_return,31000.0,6.322049997909742,4.337767644924275,44.29770470555876,0.641995485061031,1.984282352985467,10.659817642834017,44.93970019061979,43.65570922049773
mean_episode_return,32000.0,7.0353027328663185,4.799546692255602,46.21929620461617,0.3101664608802608,2.235756040610716,11.83484942512192,46.52946266549643,45.90912974373591
mean_episode_return,33000.0,7.748555467822893,5.261325739586928,48.140887703673584,0.02166256330050942,2.4872297282359646,13.009881207409821,48.119225140373075,48.162550266974094
mean_episode_return,34000.0,8.461808202779467,5.723104786918254,50.062479202731,0.3534915874812796,2.7387034158612136,14.184912989697722,49.70898761524972,50.41597079021228
mean_episode_return,35000.0,9.175060937736042,6.18488383424958,51.98407070178841,0.6853206116620498,2.990177103486462,15.359944771985623,51.29875009012636,52.66939131345046
mean_episode_return,36000.0,10.008874866577301,6.923933641996702,53.58338258983946,1.0912849062848125,3.0849412245805987,16.932808508574002,52.49209768355465,54.67466749612427
mean_episode_return,37000.0,10.881299901476572,7.6848721339711314,55.160290012954235,1.5024029897618334,3.1964277675054404,18.566172035447703,53.6578870231924,56.66269300271607
mean_episode_return,38000.0,11.753724936375844,8.445810625945562,56.73719743606901,1.9135210732388543,3.307914310430282,20.199535562321408,54.823676362830156,58.650718509307865
mean_episode_return,39000.0,12.626149971275117,9.206749117919992,58.314104859183786,2.3246391567158717,3.419400853355124,21.83289908919511,55.98946570246792,60.63874401589966
mean_episode_return,40000.0,13.49857500617439,9.967687609894424,59.89101228229856,2.7357572401928927,3.5308873962799656,23.466262616068814,57.15525504210567,62.62676952249146
mean_episode_return,41000.0,14.454721070955454,10.896242158818804,61.61724052109527,2.923761005470279,3.558478912136649,25.35096322977426,58.69347951562499,64.54100152656555
mean_episode_return,42000.0,15.427780798198125,11.846104814246775,63.35384935135651,3.0962541496963567,3.5816759839513495,27.2738856124449,60.25759520166015,66.45010350105287
mean_episode_return,43000.0,16.400840525440795,12.795967469674745,65.09045818161773,3.2687472939224307,3.6048730557660504,29.196807995115538,61.8217108876953,68.35920547554016
mean_episode_return,44000.0,17.373900252683466,13.745830125102714,66.82706701187897,3.441240438148501,3.628070127580751,31.11973037778618,63.38582657373046,70.26830745002746
mean_episode_return,45000.0,18.346959979926133,14.695692780530683,68.5636758421402,3.6137335823745786,3.651267199395452,33.04265276045682,64.94994225976562,72.17740942451478
mean_episode_return,46000.0,19.497386075127555,15.54424412351169,69.49763869327545,3.8256106140975987,3.953141951615865,35.04163019863925,65.67202807917785,73.32324930737305
mean_episode_return,47000.0,20.801758212020317,16.250415400985176,70.37580262607574,4.040225563133241,4.551342811035139,37.05217361300549,66.3355770629425,74.41602818920899
mean_episode_return,48000.0,22.106130348913073,16.95658667845866,71.25396655887604,4.25484051216889,5.149543670454413,39.06271702737173,66.99912604670715,75.50880707104493
mean_episode_return,49000.0,23.410502485805832,17.662757955932147,72.13213049167634,4.469455461204532,5.747744529873687,41.07326044173798,67.6626750304718,76.60158595288087
mean_episode_return,50000.0,24.714874622698595,18.36892923340563,73.01029442447663,4.6840704102401745,6.345945389292961,43.083803856104225,68.32622401423646,77.69436483471681
mean_episode_return,51000.0,26.55622481939583,18.48817668274364,73.64930859781074,5.020542808507919,8.068048136652191,45.044401502139465,68.62876578930283,78.66985140631867
mean_episode_return,52000.0,28.07293361999521,18.92447008875589,74.27169738679696,5.365486580251698,9.148463531239319,46.9974037087511,68.90621080654526,79.63718396704866
mean_episode_return,53000.0,29.589642420594586,19.36076349476814,74.89408617578317,5.710430351995477,10.228878925826447,48.95040591536273,69.18365582378769,80.60451652777864
mean_episode_return,54000.0,31.10635122119397,19.797056900780397,75.51647496476937,6.055374123739256,11.309294320413576,50.903408121974365,69.46110084103012,81.57184908850863
mean_episode_return,55000.0,32.62306002179335,20.233350306792648,76.13886375375557,6.4003178954830275,12.389709715000704,52.856410328586,69.73854585827254,82.5391816492386
mean_episode_return,56000.0,34.816883907968815,19.428878117971596,76.68972523605919,6.488014106126791,15.388005789997216,54.24576202594041,70.2017111299324,83.17773934218599
mean_episode_return,57000.0,36.27236479662069,19.277032489782478,77.235614231802,6.557826796480192,16.99533230683821,55.54939728640317,70.6777874353218,83.79344102828219
mean_episode_return,58000.0,37.72784568527257,19.12518686159336,77.78150322754479,6.62763948683358,18.602658823679207,56.853032546865926,71.15386374071122,84.40914271437838
mean_episode_return,59000.0,39.18332657392445,18.973341233404245,78.32739222328759,6.697452177186975,20.2099853405202,58.15666780732869,71.62994004610061,85.02484440047456
mean_episode_return,60000.0,40.638807462576324,18.821495605215127,78.87328121903039,6.767264867540369,21.817311857361194,59.46030306779145,72.10601635149001,85.64054608657075
mean_episode_return,61000.0,41.42676075809602,18.908815144900025,78.88269291243553,6.5755177772502975,22.517945613196,60.33557590299605,72.30717513518523,85.45821068968583
