metric,env_steps,ppo_mean,ppo_std,dreamer_mean,dreamer_std,ppo_seed_0,ppo_seed_1,dreamer_seed_0,dreamer_seed_1,ppo_raw_seed_0,ppo_raw_seed_1,dreamer_raw_seed_0,dreamer_raw_seed_1
mean_episode_return,0.0,-0.3069399893283844,1.1211194694042206,-3.174641251564026,0.005632281303405762,-1.428059458732605,0.8141794800758362,-3.16900897026062,-3.1802735328674316,-1.428059458732605,0.8141794800758362,-3.16900897026062,-3.1802735328674316
mean_episode_return,1000.0,-0.3069399893283844,1.1211194694042206,-2.3152609925370227,0.014484840716922243,-1.428059458732605,0.8141794800758362,-2.329745833253945,-2.3007761518201004,-1.428059458732605,0.8141794800758362,-1.4904826962472697,-1.4212787707727692
mean_episode_return,2000.0,-0.3069399893283844,1.1211194694042206,-1.4160520584035987,0.03553430707330829,-1.428059458732605,0.8141794800758362,-1.451586365476907,-1.3805177513302904,-1.428059458732605,0.8141794800758362,0.3047325700771695,0.4599990496493298
mean_episode_return,3000.0,-0.3069399893283844,1.1211194694042206,-0.5068859554935693,0.05681685951370874,-1.428059458732605,0.8141794800758362,-0.563702815007278,-0.45006909597986056,-1.428059458732605,0.8141794800758362,2.0999478364016086,2.341276870071429
mean_episode_return,4000.0,1.763380517065525,0.061573524773120836,0.40626301492710204,0.07819264638771503,1.7018069922924042,1.8249540418386458,0.32807036853938704,0.4844556613148171,14.22127279639244,5.868052288889885,3.8951631027260474,4.222554690493528
mean_episode_return,5000.0,5.3001780488217864,1.748484130638341,1.3214034191030946,0.09961505047852426,7.048662179460128,3.551693918183446,1.2217883686245703,1.4210184695816188,33.78293811529875,12.185393299907446,5.690378369050487,6.103832510915627
mean_episode_return,6000.0,9.674962452213679,3.987405620781439,2.2384446564324216,0.0774889707395594,13.662368072995118,5.68755683143224,2.160955685692862,2.315933627171981,53.344603434205055,18.502734310925007,7.795959588102611,7.685424572714155
mean_episode_return,7000.0,14.373384460574016,5.485365239204839,3.1567203190692648,0.025494462855794264,19.858749699778855,8.888019221369177,3.1312258562134705,3.182214781925059,63.233421087265015,31.291255950927734,9.92311704985773,9.246182865196603
mean_episode_return,8000.0,19.16898461162216,5.891423302599126,4.075818931911119,0.0464123304578381,25.060407914221287,13.277561309023035,4.122231262368957,4.029406601453281,66.67367362976074,48.393898010253906,12.050274511612848,10.806941157679052
mean_episode_return,9000.0,24.032609462551775,5.533150277473032,4.995493609896481,0.1322577235723772,29.565759740024806,18.49945918507874,5.127751333468858,4.863235886324103,70.11392617225647,65.49654006958008,14.177431973367966,12.367699450161503
mean_episode_return,10000.0,28.57688504982401,4.84653350253674,5.915587244349847,0.2282402801784853,33.42341855236075,23.73035154728727,6.143827524528333,5.687346964171362,72.00000667572021,76.03927516937256,16.304589435123084,13.928457742643952
mean_episode_return,11000.0,32.374518751942865,4.226517347774157,7.095809084091795,0.30751846794701265,36.60103609971702,28.148001404168706,7.4033275520388075,6.788290616144782,71.55482912063599,76.7421498298645,21.257827854654042,18.898670787852407
mean_episode_return,12000.0,35.597812542405265,3.6577324392990445,8.492802098662171,0.3723873182439439,39.25554498170431,31.940080103106222,8.865189416906116,8.120414780418228,71.10965156555176,77.44502449035645,26.40753179531381,24.105904751699565
mean_episode_return,13000.0,38.29472944552877,3.170001249893435,10.060115322026313,0.4259345462417645,41.464730695422205,35.124728195635335,10.486049868268077,9.634180775784548,70.18414497375488,76.5251533985138,31.557235735973567,29.313138715546728
mean_episode_return,14000.0,40.29013486690819,2.899435264493029,11.763684712425466,0.47042447640029383,43.18957013140122,37.39069960241516,12.234109188825759,11.293260236025171,67.33732223510742,69.11429929733276,36.706939676633326,34.52037267939389
