metric,tag,trainer_step,mean,std,seed_0,seed_1,raw_seed_0,raw_seed_1
train_mean_reward,Reward / Total reward (mean),0.0,-0.3069399893283844,1.1211194694042206,-1.428059458732605,0.8141794800758362,-1.428059458732605,0.8141794800758362
train_mean_reward,Reward / Total reward (mean),400.0,-0.3069399893283844,1.1211194694042206,-1.428059458732605,0.8141794800758362,-1.428059458732605,0.8141794800758362
train_mean_reward,Reward / Total reward (mean),800.0,-0.3069399893283844,1.1211194694042206,-1.428059458732605,0.8141794800758362,-1.428059458732605,0.8141794800758362
train_mean_reward,Reward / Total reward (mean),1200.0,3.833701023459433,0.9979724198579782,4.8316734433174116,2.835728603601455,29.870605051517487,10.921925097703934
train_mean_reward,Reward / Total reward (mean),1600.0,11.286854846477507,4.812337820529937,16.099192667007443,6.474517025947569,61.16926956176758,21.02967071533203
train_mean_reward,Reward / Total reward (mean),2000.0,20.53624104118347,5.677847818374634,26.214088859558103,14.858393222808836,66.67367362976074,48.393898010253906
train_mean_reward,Reward / Total reward (mean),2400.0,31.222613133239744,4.184273493957523,35.40688662719727,27.03833963928222,72.1780776977539,75.75812530517578
train_mean_reward,Reward / Total reward (mean),2800.0,39.812942343749995,2.805725679931644,42.61866802368164,37.007216663818355,71.46579360961914,76.88272476196289
train_mean_reward,Reward / Total reward (mean),3200.0,46.726437249023434,1.5191990742187542,48.24563632324219,45.20723817480468,70.75350952148438,78.00732421875
train_mean_reward,Reward / Total reward (mean),3600.0,50.61600487886963,1.2202228076538084,51.836227686523436,49.39578207121582,66.19859313964844,66.14995765686035
train_mean_reward,Reward / Total reward (mean),4000.0,52.08643068837402,1.7112868124072236,53.797717500781246,50.3751438759668,61.6436767578125,54.2925910949707
train_mean_reward,Reward / Total reward (mean),4400.0,48.964645592111566,1.7411770587106936,47.223468533400876,50.70582265082226,20.926472663879395,52.02853775024414
train_mean_reward,Reward / Total reward (mean),4800.0,42.16909177123564,8.348463230525681,33.82062854070996,50.51755500176132,-19.79073143005371,49.76448440551758
train_mean_reward,Reward / Total reward (mean),5200.0,43.3309680542871,11.709019321755747,31.62194873253135,55.039987376042845,22.827229499816895,73.12971687316895
